,kin_att_int,alti_oue_min,alti_oue_max,alti_our_min,alti_our_max,alti_oue_med,alti_oue_mean,alti_our_med,alti_our_mean,alti_pm,slope_oue_min,slope_oue_max,slope_our_min,slope_our_max,slope_oue_med,slope_oue_mean,slope_our_med,slope_our_mean,slope_marg_min,slope_marg_max,slope_marg_med,slope_marg_mean,len_min_oue,len_max_oue,len_min_our,len_max_our,elongated_oue_ratio,elongated_our_ratio,surf_oue_ha,surf_our_ha,surf_margins,surf_oue_covered_by_ma_ratio,surf_our_covered_by_ma_ratio,reliability_oue_fr,reliability_oue_left,reliability_oue_right,reliability_oue_upsl,reliability_our_fr,reliability_our_left,reliability_our_right,reliability_our_upsl
slope_marg_med,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.3,0.6,0.7,0.5,0.5,0.1,0.5,1.0,0.9,0.0,-0.1,0.0,-0.1,0.2,0.2,-0.1,-0.1,-0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
slope_marg_mean,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.3,0.7,0.7,0.5,0.5,0.3,0.5,0.9,1.0,0.0,-0.1,0.0,-0.1,0.2,0.2,0.0,-0.1,0.0,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
len_min_oue,0.0,-0.2,0.0,-0.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.4,0.4,-0.4,0.4,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,0.0,0.0,1.0,0.8,1.0,0.8,0.1,0.1,0.9,0.9,0.8,0.0,0.0,-0.2,-0.2,-0.1,-0.2,-0.3,-0.2,0.0,-0.1
len_max_oue,0.0,-0.2,0.0,-0.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.4,0.4,-0.4,0.4,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.1,0.8,1.0,0.8,1.0,-0.4,-0.3,0.9,0.9,0.8,0.0,0.0,-0.2,-0.2,-0.1,0.0,-0.3,-0.2,-0.1,0.0
len_min_our,0.1,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,-0.4,0.4,-0.4,0.4,-0.2,-0.2,-0.1,0.0,-0.1,0.3,0.0,0.0,1.0,0.8,1.0,0.8,0.0,0.2,0.9,0.9,0.7,0.0,0.0,-0.1,-0.2,-0.1,-0.2,-0.3,-0.2,-0.1,-0.1
len_max_our,0.0,-0.2,0.0,-0.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.4,0.4,-0.4,0.4,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.1,0.8,1.0,0.8,1.0,-0.4,-0.3,0.9,0.9,0.7,0.0,0.0,-0.2,-0.2,-0.1,0.0,-0.3,-0.2,-0.2,0.0
elongated_oue_ratio,-0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,-0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.1,-0.4,0.0,-0.4,1.0,0.9,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.1,0.1,-0.2,0.1,0.1,0.2,-0.1
elongated_our_ratio,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.2,0.1,-0.3,0.2,-0.3,0.9,1.0,-0.1,-0.1,-0.1,0.0,0.0,0.1,0.1,0.1,-0.2,0.1,0.0,0.2,-0.1
surf_oue_ha,0.0,-0.2,0.0,-0.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,0.4,-0.3,0.4,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,0.0,0.9,0.9,0.9,0.9,-0.1,-0.1,1.0,1.0,0.8,0.0,0.0,-0.2,-0.2,-0.1,-0.1,-0.2,-0.1,0.0,0.0
surf_our_ha,0.0,-0.2,0.0,-0.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,0.4,-0.3,0.4,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.1,0.9,0.9,0.9,0.9,-0.1,-0.1,1.0,1.0,0.7,0.0,0.0,-0.2,-0.1,0.0,-0.1,-0.2,-0.1,0.0,0.0
surf_margins,-0.2,-0.4,-0.2,-0.4,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,0.4,-0.4,0.3,-0.1,-0.1,-0.2,-0.2,0.0,0.4,-0.1,0.0,0.8,0.8,0.7,0.7,-0.1,-0.1,0.8,0.7,1.0,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0.0,0.0
surf_oue_covered_by_ma_ratio,0.7,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.2,1.0,1.0,-0.1,-0.2,-0.1,0.0,0.0,-0.1,-0.1,0.1
surf_our_covered_by_ma_ratio,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.2,1.0,1.0,-0.1,-0.2,-0.1,0.0,0.0,-0.1,-0.1,0.1
reliability_oue_fr,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,-0.2,-0.2,-0.1,-0.2,0.1,0.1,-0.2,-0.2,-0.1,-0.1,-0.1,1.0,0.3,0.2,0.0,0.5,0.3,0.1,0.0
reliability_oue_left,-0.2,0.0,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,-0.1,0.1,-0.2,0.0,0.0,-0.1,-0.1,0.2,-0.1,0.1,0.1,-0.2,-0.2,-0.2,-0.2,0.1,0.1,-0.2,-0.1,-0.1,-0.2,-0.2,0.3,1.0,0.2,0.2,0.3,0.8,0.3,0.2
reliability_oue_right,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,-0.1,0.1,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,0.1,0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,-0.1,-0.1,-0.1,0.2,0.2,1.0,0.3,0.3,0.2,0.7,0.2
reliability_oue_upsl,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.1,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,0.2,0.1,0.1,-0.2,0.0,-0.2,0.0,-0.2,-0.2,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.2,0.3,1.0,0.1,0.2,0.2,0.9
reliability_our_fr,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.1,0.1,-0.3,-0.3,-0.3,-0.3,0.1,0.1,-0.2,-0.2,-0.2,0.0,0.0,0.5,0.3,0.3,0.1,1.0,0.3,0.3,0.2
reliability_our_left,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.1,0.0,0.0,-0.1,-0.1,0.1,0.0,0.1,0.1,-0.2,-0.2,-0.2,-0.2,0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.3,0.8,0.2,0.2,0.3,1.0,0.2,0.2
reliability_our_right,-0.1,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0.1,-0.1,0.1,-0.1,0.1,0.1,0.0,0.0,0.0,-0.1,0.1,0.1,0.0,-0.1,-0.1,-0.2,0.2,0.2,0.0,0.0,0.0,-0.1,-0.1,0.1,0.3,0.7,0.2,0.3,0.2,1.0,0.2
reliability_our_upsl,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,-0.1,0.0,-0.1,0.0,-0.1,-0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.2,0.9,0.2,0.2,0.2,1.0
